Tag	Latency Normalized	Power
690	1.0448347289	100.079724
691	1.0489853886	100.06062
692	1.0551918075	100.068269
693	1.0659155988	100.106971
694	1.0678961236	100.14887
695	1.072256315	100.165566
696	1.0806867278	100.210766
697	1.0879457739	100.286258
698	1.0884197759	100.297651
699	1.0924640148	100.362099
700	1.0971144701	100.370152
701	1.0997045781	100.382145
702	1.1034216415	100.425004
703	1.1051795205	100.435337
704	1.1115572264	100.413089
705	1.1159621884	100.427914
706	1.1196894355	100.440022
707	1.1233203552	100.448485
708	1.1262083512	100.445331
709	1.1264452645	100.395381
710	1.1265200276	100.32805
711	1.1358706728	100.219978
712	1.1580965352	100.874732
713	0.973536835	104.964937
714	0.9720426362	105.125372
715	0.9707937509	105.24834
716	0.9691466119	105.329949
717	0.9683536382	105.411635
718	0.9680592872	105.517768
719	0.9681866377	105.635829
720	0.9670312455	105.72289
721	0.9653061334	105.83888
722	0.9649023989	105.951413
723	0.9634682545	106.083944
724	0.9601431381	106.248753
725	0.9578180904	106.404551
726	0.9540390116	106.51632
727	0.9494063718	106.71679
728	0.9465266848	106.838875
729	0.9437556623	106.998984
730	0.9409357755	107.128064
731	0.9387673726	107.223697
732	0.9368854983	107.347196
733	0.9346044057	107.399887
734	0.9379247773	107.553435
735	0.9425266863	107.736491
736	0.9406244531	107.772208
737	0.9392867729	107.872523
738	0.9382651259	107.921336
739	0.9364978741	107.972503
740	0.9585836735	108.229483
741	0.9577545254	108.406318
742	0.9564647151	108.583992
743	0.9616482266	108.830294
744	0.9594092342	108.946124
745	0.9582794667	109.039736
746	0.976913976	109.257992
747	0.9774824695	109.371014
748	0.9793790916	109.533358
749	0.9825610963	109.770329
750	0.9854740307	109.925177
751	0.9848711077	110.083339
752	0.9914580109	110.399056
753	0.9740138779	110.687459
754	0.9757154189	111.141394
755	0.9729214081	111.45016
756	0.9690923344	111.709969
757	0.968095837	111.977904
758	0.9660452406	112.2469
759	0.9682025344	112.522693
760	0.9680601853	112.889499
761	0.9658338295	113.228318
762	0.9672721065	113.481927
763	0.9690662348	113.78602
764	1.1081085985	114.77467
765	1.1040352673	114.682557
766	1.1019163841	114.575815
767	1.0890548266	114.545851
768	1.0837708343	114.427336
769	1.0800336917	114.345677
770	1.0759238196	114.292114
771	1.0731972868	114.255623
772	1.0688593961	114.249854
773	1.176675872	112.05225
774	1.1607092378	111.616703
775	1.1581611952	111.533271
776	1.1487439634	111.504371
777	1.1391635407	111.475108
778	1.1339906321	111.375506
779	1.1308449843	111.253429
780	1.1266797915	111.165439
781	1.1242149818	111.083933
782	1.1206868615	111.020152
783	1.116157175	110.994347
784	1.1122422512	110.992143
785	1.1080123699	111.001108
786	1.2292127952	109.361515
787	1.1933829897	109.488242
788	1.3296535909	103.862462
789	1.3225788568	103.699756
790	1.3181756317	103.591491
791	1.3136463001	103.503693
792	1.3071427673	103.422484
793	1.2962778623	103.327334
794	1.2940110688	103.210777
795	1.2892894855	103.108738
796	1.2803535824	103.016302
797	1.2728582807	102.899029
798	1.270632087	102.81577
799	1.2643058845	102.695872
800	1.2568873499	102.620275
801	1.2525301762	102.529672
802	1.2496575808	102.431993
803	1.2489939094	102.398938
804	1.2411849365	102.382395
805	1.237760802	102.362408
806	1.2336654978	102.336193
807	1.2284609841	102.352753
808	1.2235572081	102.35593
809	1.2210558256	102.394022
810	1.2189864453	102.4644
811	1.3708219631	103.804624
812	1.318692984	104.074387
813	1.318110765	103.968657
814	1.3172418339	103.846418
815	1.3164058894	103.747058
816	1.3159256114	103.658319
817	1.314431732	103.557625
818	1.3125529225	103.461628
819	1.3103485817	103.345914
820	1.309133206	103.272627
821	1.3086283922	103.201098
822	1.3082155939	103.144443
823	1.3077639329	103.084648
824	1.3072178798	103.042914
825	1.3067126208	102.984396
826	1.3062698175	102.985567
827	1.3056903454	102.958727
828	1.3052130972	102.969824
829	1.3047354885	102.948595
830	1.3041855117	102.956476
831	1.3027997601	102.995501
832	1.301383148	103.020145
833	1.2981573792	103.050738
834	1.2914698363	103.018184
835	1.2823238444	103.010463
836	1.2799720113	103.134588
837	1.2774045184	103.234349
838	1.2752215578	103.44127
839	1.2724278666	103.602813
840	1.2458767967	103.551733
841	1.2427793227	103.643806
842	1.2397041921	103.709693
843	1.2368367714	104.080085
844	1.2365574611	104.423244
845	1.2406761892	105.069723
846	1.2241126318	105.404562
847	1.2236995108	105.666525
848	1.2218657768	105.963231
849	1.2156781759	106.192956
850	1.2139878103	106.55759
851	1.2143685913	106.866759
852	1.2072264576	107.041132
853	1.202135052	107.130831
854	1.1985310205	107.482947
855	1.1954258822	107.63667
856	1.191561954	107.76326
857	1.1878411981	107.822764
858	1.1858858827	107.997722
859	1.1898206088	108.649924
860	1.1849738795	108.693377
861	1.1811464227	108.800552
862	1.1816901251	109.187741
863	1.1788866123	109.309605
864	1.0354875386	107.962398
865	1.0401319303	108.807537
866	1.041540633	109.336228
867	1.0415889544	109.762898
868	1.0467448786	110.693121
869	1.0472774648	111.11544
870	1.0481657492	111.60653
871	1.0522287323	112.405948
872	1.0546670401	113.034569
873	0.9462146741	116.291394
874	0.9368306784	117.960221
875	0.9379786256	118.519431
876	0.9393295645	119.053921
877	0.9421046838	119.69152
878	0.9425390124	120.078704
879	0.9475490912	120.763562
880	0.9497077888	121.212903
881	0.9509868509	121.584259
882	0.9541899754	122.216819
883	0.9556042206	122.698535
884	0.9573906127	123.220458
