Time	EXEC_CV	DRAM_CV
503	0.0215874527	0.0093877143
504	0.017482077	0.0061166949
505	0.1851953696	0.1869906806
506	0.618907906	0.2923956275
507	0.6271294327	0.3398074925
508	0.4968549389	0.3352640678
509	0.3082150154	0.0843851846
510	0.5389211316	0.0228565843
511	0.6831480835	0.1015821262
512	0.6856823195	0.2639256175
513	0.6460302822	0.2813065747
514	0.6052634145	0.2423085421
515	0.262047401	0.137719274
516	0.3101366036	0.1655315139
517	0.5673311251	0.2631803519
518	0.6815401053	0.2569151073
519	0.6532580693	0.2252468074
520	0.3555463007	0.1388314907
521	0.355837439	0.1325284006
522	0.152040398	0.0254290234
523	0.0870992096	0.0393950058
524	0.0224289975	0.0306361814
525	0.076109649	0.0336821198
526	0.0811510221	0.0386351221
527	0.308596442	0.0724124066
528	0.6037284302	0.1326468613
529	0.8441199523	0.1340111786
530	1.1206826698	0.1137687513
531	0.839763851	0.049966934
532	1.0124065502	0.0464854769
533	1.8418520064	0.0781127755
534	1.2336786659	0.0805036078
535	0.8329332127	0.1114734318
536	0.4971928599	0.161294589
537	0.1423544383	0.1601370742
538	0.2801677635	0.2790787624
539	0.3167271855	0.2488346337
540	0.2984912783	0.1908225692
541	0.158362937	0.1393183971
542	0.378380706	0.2578424797
543	0.5335829759	0.3622081706
544	0.5551979765	0.3650397486
545	0.5424351417	0.3808869503
546	0.5863516634	0.3727611838
547	0.7731976159	0.3976506076
548	0.7762751093	0.4144931578
549	0.7739907051	0.408751943
550	0.8986118933	0.3147022997
551	1.1389125433	0.3557200917
552	1.1868184235	0.3342453357
553	1.7002417992	0.3012373285
554	0.3340025491	0.1227250831
555	0.3537098385	0.1234990609
556	0.5257775956	0.0499454859
557	0.3450657202	0.0979900358
558	0.3483367502	0.1150389936
559	0.3423986603	0.0959955254
560	1.2205265117	0.0622509356
561	1.0767675014	0.1157150448
562	0.8233093472	0.3152284385
563	0.5613827807	0.317331201
564	0.2382770742	0.2566145366
565	0.059497284	0.165306083
566	0.0250942006	0.0010784027
567	0.0199835698	0
568	0.0166165512	0.0005393314
569	0.2936253622	0.1338965742
570	0.8014900058	0.2575654732
571	0.6593494845	0.3227507451
572	0.8088637754	0.336320784
573	0.9767218695	0.1801642014
574	1.2706936054	0.0335559785
575	1.855769769	0.021771202
576	0.2253912074	0.0386029673
577	1.1221318173	0.1468751013
578	0.959464653	0.1845532954
579	0.7067062709	0.1784846093
580	0.4499873426	0.1527988556
581	0.1282603199	0.0212890775
582	0.1065547787	0.0285850006
583	0.0978301806	0.021762916
584	0.0806933724	0.0207785429
585	0.0561290897	0.0193720216
586	0.4352806089	0.1113843299
587	0.706993397	0.1342887998
588	0.9887042487	0.133263625
589	1.3090306679	0.1080310066
590	0.2630508122	0.021636122
591	1.8551622205	0.0515544779
592	1.4298544102	0.053607116
593	0.9850531715	0.0820386624
594	0.6361807842	0.155986725
595	0.2696389418	0.1729449052
596	0.2927161952	0.2496347232
597	0.3639203751	0.2627873912
598	0.3447124846	0.2067478446
599	0.2850905228	0.1481537141
600	0.1949581561	0.1727105663
601	0.5220921707	0.3241699049
602	0.5973118749	0.4001663763
603	0.6470497374	0.3991476875
604	0.4518443553	0.2784546323
605	0.4710049775	0.4068717598
606	0.5294182246	0.3800340498
607	0.8593220641	0.3900095612
608	1.2313083775	0.404629494
609	1.7012717669	0.4689576319
610	0.9941845212	0.1310607924
611	0.3711653439	0.0144307506
